file_path,modifications,total_churn,total_added,total_deleted,unique_commits,first_seen,last_seen,lifespan_years,churn_density
numpy\core\code_generators\generate_umath.py,111,4784,2071,2713,111,2006-01-04 22:37:16+00:00,2017-07-27 02:02:30+00:00,11.6,412.4
numpy\lib\utils.py,108,2928,1911,1017,108,2006-01-04 19:00:27+00:00,2017-08-11 01:01:06+00:00,11.6,252.4
numpy\core\src\arraymethods.c,107,10096,3449,6647,107,2006-01-04 19:00:27+00:00,2009-04-30 08:37:38+00:00,3.3,3059.4
numpy\lib\shape_base.py,105,3433,1610,1823,105,2006-01-04 19:00:27+00:00,2017-09-04 20:19:12+00:00,11.7,293.4
numpy\core\tests\test_datetime.py,105,3915,2942,973,105,2009-11-20 00:00:42+00:00,2017-08-07 19:14:58+00:00,7.7,508.4
numpy\core\src\multiarray\convert_datatype.c,104,3689,2461,1228,104,2009-04-30 08:42:26+00:00,2017-09-23 21:17:00+00:00,8.4,439.2
numpy\core\numerictypes.py,103,2591,1161,1430,103,2006-01-05 00:16:33+00:00,2017-08-06 13:47:35+00:00,11.6,223.4
numpy\linalg\tests\test_linalg.py,101,3811,2705,1106,101,2006-07-14 08:02:52+00:00,2017-08-19 13:48:34+00:00,11.1,343.3
numpy\core\code_generators\numpy_api.py,99,2703,1560,1143,99,2009-10-08 13:46:08+00:00,2017-01-19 21:57:26+00:00,7.3,370.3
numpy\lib\polynomial.py,97,2710,1460,1250,97,2006-01-04 19:00:27+00:00,2017-07-08 20:39:55+00:00,11.5,235.7
numpy\core\arrayprint.py,96,3230,1538,1692,96,2006-01-04 19:00:27+00:00,2017-09-23 18:49:12+00:00,11.7,276.1
numpy\core\src\multiarray\datetime.c,95,12963,7990,4973,95,2009-08-31 17:11:56+00:00,2017-09-18 03:54:40+00:00,8.0,1620.4
numpy\distutils\fcompiler\gnu.py,95,2235,1065,1170,95,2006-01-04 19:00:27+00:00,2017-09-20 18:06:25+00:00,11.7,191.0
scipy_distutils\command\build_flib.py,92,4756,2378,2378,92,2001-12-18 15:45:10+00:00,2004-02-01 22:07:53+00:00,2.1,2264.8
numpy\core\tests\test_scalarmath.py,92,1815,1186,629,92,2006-05-30 21:47:10+00:00,2017-09-22 18:54:52+00:00,11.3,160.6
numpy\distutils\mingw32ccompiler.py,92,1555,884,671,92,2006-01-04 19:00:27+00:00,2017-08-14 17:51:56+00:00,11.6,134.1
numpy\core\src\multiarray\iterators.c,91,3237,1481,1756,91,2009-04-30 08:42:26+00:00,2017-09-23 21:17:00+00:00,8.4,385.4
numpy\core\_internal.py,91,2683,1295,1388,91,2006-01-06 10:14:10+00:00,2017-08-25 17:11:30+00:00,11.6,231.3
numpy\testing\nosetester.py,90,2594,1302,1292,90,2008-06-17 00:23:20+00:00,2017-07-04 19:47:45+00:00,9.0,288.2
numpy\lib\twodim_base.py,89,2812,1712,1100,89,2006-01-04 19:30:36+00:00,2017-06-03 12:23:46+00:00,11.4,246.7
numpy\core\code_generators\genapi.py,89,1344,558,786,89,2006-07-06 16:57:20+00:00,2017-07-24 16:00:10+00:00,11.0,122.2
scipy\base\include\scipy\arrayobject.h,88,1026,653,373,88,2005-09-15 08:55:17+00:00,2005-12-31 05:54:07+00:00,0.3,2052.0
scipy_distutils\system_info.py,84,2811,2164,647,84,2002-02-20 18:14:13+00:00,2005-07-22 03:02:31+00:00,3.4,826.8
numpy\core\setup_common.py,84,541,421,120,84,2009-03-13 05:10:09+00:00,2017-05-10 17:01:08+00:00,8.2,66.0
numpy\__init__.py,83,1381,541,840,83,2006-01-04 19:00:27+00:00,2017-07-04 19:47:45+00:00,11.5,120.1
numpy\lib\src\_compiled_base.c,83,4437,2483,1954,83,2006-01-04 19:00:27+00:00,2014-12-08 03:32:36+00:00,8.9,498.5
numpy\core\src\multiarray\shape.c,82,2141,1306,835,82,2009-04-30 08:42:26+00:00,2017-06-03 14:02:10+00:00,8.1,264.3
numpy\random\tests\test_random.py,82,2839,2224,615,82,2007-08-28 22:26:59+00:00,2017-08-22 11:11:30+00:00,10.0,283.9
scipy\base\src\ufuncobject.c,82,5165,4155,1010,82,2005-09-14 22:42:37+00:00,2005-12-26 07:28:46+00:00,0.3,10330.0
numpy\core\src\multiarray\dtype_transfer.c,80,7873,6008,1865,80,2011-01-15 01:35:23+00:00,2017-05-05 20:38:52+00:00,6.3,1249.7
numpy\core\memmap.py,79,1050,553,497,79,2006-01-06 10:14:10+00:00,2017-03-25 10:11:43+00:00,11.2,93.8
numpy\core\include\numpy\ufuncobject.h,78,2275,790,1485,78,2006-01-11 00:52:55+00:00,2017-05-09 09:16:14+00:00,11.3,201.3
pavement.py,78,1774,1211,563,78,2009-03-27 11:14:17+00:00,2017-08-25 08:33:20+00:00,8.4,211.2
numpy\f2py\crackfortran.py,78,11015,3150,7865,78,2006-01-20 21:59:32+00:00,2017-06-26 13:01:15+00:00,11.4,966.2
numpy\distutils\command\config.py,77,1263,777,486,77,2006-01-04 19:00:27+00:00,2017-06-03 12:41:26+00:00,11.4,110.8
numpy\core\tests\test_deprecations.py,77,2424,1439,985,77,2012-12-13 08:44:23+00:00,2017-08-11 23:14:41+00:00,4.7,515.7
numpy\testing\tests\test_utils.py,75,1964,1650,314,75,2008-04-07 23:02:05+00:00,2017-09-09 15:41:01+00:00,9.4,208.9
numpy\ma\tests\test_extras.py,75,2923,2088,835,75,2007-12-15 01:15:26+00:00,2017-08-01 20:29:36+00:00,9.6,304.5
numpy\core\blasdot\_dotblas.c,75,7904,2478,5426,75,2006-01-04 19:00:27+00:00,2014-08-20 18:39:40+00:00,8.6,919.1
numpy\core\ma.py,73,8150,783,7367,73,2006-01-04 19:00:27+00:00,2007-12-15 18:54:52+00:00,1.9,4289.5
numpy\distutils\ccompiler.py,73,1479,767,712,73,2006-01-04 19:00:27+00:00,2017-06-21 15:55:26+00:00,11.5,128.6
numpy\distutils\command\scons.py,72,2094,1047,1047,72,2008-01-06 10:32:14+00:00,2013-01-13 17:04:44+00:00,5.0,418.8
